chapter	chaptertitle	chapterabbr	v	f	c	s1	s2	s3	semcat	old_chapter	old_subchapter					Old semcat (#2)	Old V.F (#2)	Old chptr (#2)	Note
1.2.1.2	Crown/Pate		1	2	1	2	0	0	Nbp	1a	2.1.2								
1.2.1.3	Fontanel		1	2	1	3	0	0	Nbp	1a	2.1.3								
1.2.1.4	Caul		1	2	1	4	0	0	Nbp	1a	2.1.4								No lexicon records
1.2.1.5	Scalp		1	2	1	5	0	0	Nbp	1a	2.1.5								
1.2.2	Horn(ed)/Antler		1	2	2	0	0	0	Nbp	1a	2.2					Vbp	1b	2.2	
1.2.2.1	Comb/Crest		1	2	2	1	0	0	Nbp	1a	2.2.1								
1.2.2.2	Comb (Hair)		1	2	2	2	0	0											
1.2.3	Hair of Head		1	2	3	0	0	0	Nbp	1a	2.3								
1.2.3.1	Cowlick/Flexure		1	2	3	1	0	0	Nbp	1a	2.3.1								
1.2.3.2	Queue/Braid		1	2	3	2	0	0	Nbp	1a	2.3.2								
1.2.3.3	Long-haired		1	2	3	3	0	0	Vbp	1b	2.3								
1.2.3.4	Bald		1	2	3	4	0	0	Nbp	1a	2.3.3					Vbp	1b	2.3.3	
1.2.4	Brain		1	2	4	0	0	0	Nbp	1a	2.4								
1.2.5	Face		1	2	5	0	0	0	Nbp	1a	2.5								
1.2.5.1	Forehead/Temples		1	2	5	1	0	0	Nbp	1a	2.5.1								
1.2.5.2	Jaw/Cheek		1	2	5	2	0	0	Nbp	1a	2.5.2								
1.2.5.3	Chin		1	2	5	3	0	0	Nbp	1a	2.5.3								
1.2.5.4	Dimple		1	2	5	4	0	0											Lexicon items glossed as 'dimple' appear to be categorized as 'Face' (Nbp 1a/2.5)
1.2.5.5	Beard/Moustache/Facial Hair		1	2	5	5	0	0	Nbp	1a	2.5.5					Vbp	1b	2.5	BP Verb was "Bearded Vbp 1b/2.5"
1.2.6	Eye		1	2	6	0	0	0	Nbp	1a	2.6					Vbp	1b	2.6	
1.2.6.1	Eyeball		1	2	6	1	0	0	Nbp	1a	2.6.1								
1.2.6.2	Iris/Pupil		1	2	6	2	0	0	Nbp	1a	2.6.2								
1.2.6.2.1	Dilate		1	2	6	2	1	0	Vbp	1b	2.6.2								
1.2.6.3	White of Eye		1	2	6	3	0	0	Nbp	1a	2.6.3								
1.2.6.4	Eyelid		1	2	6	4	0	0	Nbp	1a	2.6.4								
1.2.6.5	Eyelash		1	2	6	5	0	0	Nbp	1a	2.6.5								
1.2.6.6	Eyebrow		1	2	6	6	0	0	Nbp	1a	2.6.6								
1.2.6.7	Tears		1	2	6	7	0	0	Nbp	1a	2.6.7								also exists in 1.8.8.3 (under Secretions and Somatophonics)
1.2.6.8	Eye Sand		1	2	6	8	0	0	Nbp	1a	2.6.8								
1.2.6.9	Watch		1	2	6	9	0	0	Vbp	1b	2.6.7								
1.2.6.10	See/Look		1	2	6	10	0	0	Nbp	1a	2.6.9								
1.2.6.11	Behold		1	2	6	11	0	0	Vbp	1b	2.6.9								
1.2.6.12	Blink/Wink		1	2	6	12	0	0	Nbp	1a	2.6.10								
1.2.6.13	Squint		1	2	6	13	0	0	Vbp	1b	2.6.10								
1.2.6.14	Eye Illness		1	2	6	14	0	0	Nbp	1a	2.6.11								
1.2.6.14.1	Cross-eyed		1	2	6	14	1	0	Vbp	1b	2.6.11								
1.2.6.14.2	Blind		1	2	6	14	2	0	Vbp	1b	2.6.11.								Lexicon records have truncated category (should be 2.6.11.1)
1.2.6.14.3	Sty of Eye		1	2	6	14	3	0	Nbp										
1.2.7	Ear		1	2	7	0	0	0	Nbp	1a	2.7								
1.2.7.1	Earlobe		1	2	7	1	0	0	Nbp	1a	2.7.1								
1.2.7.2	Eardrum		1	2	7	2	0	0	Nbp	1a	2.7.2								
1.2.7.3	Earwax		1	2	7	3	0	0	Nbp	1a	2.7.3								
1.2.7.4	Hear/Listen		1	2	7	4	0	0	Nbp	1a	2.7.4					Vbp	1b	2.7.4	BP Verb was "Audible"
1.2.7.5	Deaf		1	2	7	5	0	0	Nbp	1a	2.7.5								
1.2.8	Nose		1	2	8	0	0	0	Nbp	1a	2.8								
1.2.8.1	Nostril		1	2	8	1	0	0	Nbp	1a	2.8.1								
1.2.8.2	Alae Nasi		1	2	8	2	0	0	Nbp	1a	2.8.2								
1.2.8.3	Snout		1	2	8	3	0	0	Nbp										
1.2.8.4	Snot: See Secretions		1	2	8	4	0	0											delete?
1.2.8.5	Smell		1	2	8	5	0	0	Vbp	1b	2.8.5								
1.3	Mouth and Throat		1	3	0	0	0	0	Nbp	1a	3								
1.3.1	Mouth		1	3	1	0	0	0	Nbp	1a	3.1								
1.3.1.1	Palate		1	3	1	1	0	0	Nbp	1a	3.1.1								
1.3.1.2	Beak/Bill		1	3	1	2	0	0	Nbp	1a	3.1.2								
1.3.1.3	Yawn/Gape		1	3	1	3	0	0	Nbp	1a	3.1.3					Vbp	1b	3.1	
1.3.1.4	Blow		1	3	1	4	0	0	Vbp	1b	3.1.4								
1.3.2	Lip		1	3	2	0	0	0	Nbp	1a	3.2								
1.3.2.1	Suck/Suckle		1	3	2	1	0	0	Nbp	1a	3.2.1					Vbp	1b	3.2.1	
1.3.2.2	Kiss		1	3	2	2	0	0	Nbp	1a	3.2.2								
1.3.3	Tongue		1	3	3	0	0	0	Nbp	1a	3.3								
1.3.3.1	Lick		1	3	3	1	0	0	Vbp	1b	3.3.1								
1.3.4	Tooth		1	3	4	0	0	0	Nbp	1a	3.4								
1.3.4.1	Eyetooth/Tusk/Canine Tooth		1	3	4	1	0	0	Nbp	1a	3.4.1								
1.3.4.2	Molar		1	3	4	2	0	0	Nbp	1a	3.4.2								
1.3.4.3	Gums		1	3	4	3	0	0	Nbp	1a	3.4.3								
1.3.4.4	Bite/Hold in Mouth		1	3	4	4	0	0	Vbp	1b	3.4.4								
1.3.4.5	Chew		1	3	4	5	0	0	Vbp	1b	3.4.5					Nbp	1a	3.4.5	Some forms in lexicon table are categorized as 1a/3.4.5 (Nbp)
1.3.5	Throat/Pharanx		1	3	5	0	0	0	Nbp	1a	3.5								
1.3.5.1	Uvula		1	3	5	1	0	0	Nbp	1a	3.5.1								
1.3.5.2	Windpipe/Trachea		1	3	5	2	0	0	Nbp	1a	3.5.2								
1.3.5.3	Gill		1	3	5	3	0	0	Nbp	1a	3.5.3								
1.3.5.4	Adam's Apple/Larynx		1	3	5	4	0	0	Nbp	1a	3.5.4								
1.3.5.5	Gullet/Esophagus		1	3	5	5	0	0	Nbp	1a	3.5.5								
1.3.5.6	Swallow		1	3	5	6	0	0	Vbp										
1.3.5.7	Choke		1	3	5	7	0	0	Vbp	1b	3.5.6								
1.3.5.8	Eat/Devour		1	3	5	8	0	0	Vbp	1b	3.5.7								
1.3.5.9	Drink		1	3	5	9	0	0	Vbp	1b	3.5.8					Nbp	1a	3.5.8	BP Noun was "Drunkedness Nbp 1a/3.5.8"
1.4	Torso		1	4	0	0	0	0	Nbp	1a	4								
1.4.1	Torso/Trunk		1	4	1	0	0	0	Nbp	1a	4.1								
1.4.2	Neck		1	4	2	0	0	0	Nbp	1a	4.2					Vbp	1b	4.2	BP Verb was "Neck-shaped"
1.4.2.1	Nape of Neck		1	4	2	1	0	0	Nbp	1a	4.2.1								
1.4.2.2	Goiter		1	4	2	2	0	0	Nbp	1a	4.2.2								
1.4.3	Shoulder		1	4	3	0	0	0	Nbp	1a	4.3								
1.4.3.1	Collarbone/Clavicle		1	4	3	1	0	0	Nbp	1a	4.3.1								
1.4.3.2	Shoulderblade/Scapula		1	4	3	2	0	0	Nbp	1a	4.3.2								
1.4.3.3	Carry on shoulder		1	4	3	3	0	0	Vbp	1b	4.3								
1.4.4	Front		1	4	4	0	0	0	Nbp	1a	4.4								
1.4.4.1	Folded		1	4	4	1	0	0	Vbp	1b	4.4.1								Should this be moved?
1.4.4.2	Bosom/Lap		1	4	4	2	0	0	Nbp	1a	4.4.1								
1.4.4.3	Chest		1	4	4	3	0	0	Nbp	1a	4.4.2								
1.4.4.4	Ribs/Ribcage		1	4	4	4	0	0	Nbp	1a	4.4.3								
1.4.4.5	Chest Hair		1	4	4	5	0	0	Nbp	1a	4.4.4								
1.4.5	Sides		1	4	5	0	0	0	Nbp	1a	4.5								
1.4.6	Waist		1	4	6	0	0	0	Nbp	1a	4.6								
1.4.7	Belly/Abdomen		1	4	7	0	0	0	Nbp	1a	4.7								
1.4.8	Back		1	4	8	0	0	0	Nbp	1a	4.8					Vbp	1b	4.8	BP Verb was "Spinal"
1.4.8.1	Lower Back/Small of Back		1	4	8	1	0	0	Nbp	1a	4.8.1								
1.4.8.2	Spine/Backbone		1	4	8	2	0	0	Nbp	1a	4.8.2								
1.4.8.3	Hunchback		1	4	8	3	0	0	Nbp	1a	4.8.3								
1.4.8.4	Crouch		1	4	8	4	0	0	Vbp	1b	4.8.3								
1.4.9	Loins/Groin		1	4	9	0	0	0	Nbp	1a	4.9								
1.4.9.1	Crotch/Fork		1	4	9	1	0	0	Nbp	1a	4.9.1					Vbp	1b	4.9	
1.4.9.2	Hips/Pelvis/Haunches		1	4	9	2	0	0	Nbp	1a	4.9.2								
1.4.10	Buttocks/Rump		1	4	10	0	0	0	Nbp	1a	4.10								
1.4.10.1	Tail		1	4	10	1	0	0	Nbp	1a	4.10.1								
1.4.10.1.1	Short-tailed		1	4	10	1	1	0	Vbp	1b	4.10.1								
1.4.10.2	Anus/Rectum		1	4	10	2	0	0	Nbp	1a	4.10.2								
1.5	Limbs, Joints, & Body Measures		1	5	0	0	0	0	Nbp	1a	5.								Forms in lexicon table are categorized as 1a/5. with trailing dot (for some unknown reason)
1.5.1	Hand, Arm, Wing		1	5	1	0	0	0											
1.5.1.1	Hand		1	5	1	1	0	0	Nbp	1a	5.1								
1.5.1.1.1	Fist		1	5	1	1	1	0	Nbp	1a	5.1.1								
1.5.1.1.2	Back of Hand		1	5	1	1	2	0											
1.5.1.1.3	Four-handed		1	5	1	1	3	0	Vbp	1b	5.1								
1.5.1.2	Arm		1	5	1	2	0	0	Nbp	1a	5.8								
1.5.1.2.1	Bicep/Upper Arm		1	5	1	2	1	0	Nbp	1a	5.8.1								
1.5.1.2.2	Forearm		1	5	1	2	2	0	Nbp	1a	5.8.2								
1.5.1.2.3	Underarm/Armpit		1	5	1	2	3	0	Nbp	1a	5.8.3								
1.5.1.2.4	Tickle		1	5	1	2	4	0	Nbp	1a	5.8.4								
1.5.1.3	Wing		1	5	1	3	0	0	Nbp	1a	5.10								
1.5.1.3.1	Fin		1	5	1	3	1	0	Nbp	1a	5.10.1								
1.5.2	Foot		1	5	2	0	0	0	Nbp	1a	5.2					Vbp	1b	5.2	
1.5.2.1	Heel		1	5	2	1	0	0	Nbp	1a	5.2.1								
1.5.2.2	Instep		1	5	2	2	0	0	Nbp	1a	5.2.2								
1.5.2.3	Arch		1	5	2	3	0	0	Nbp	1a	5.2.3								
1.5.2.4	Ball of Foot		1	5	2	4	0	0	Nbp										
1.5.2.5	Footprint		1	5	2	5	0	0	Nbp	1a	5.2.5								
1.5.3	Hands and Feet/Arms and Legs		1	5	3	0	0	0	Nbp	1a	5.3								
1.5.3.1	Limb/Branch		1	5	3	1	0	0	Nbp	1a	5.3.1								
1.5.3.2	Five		1	5	3	2	0	0											
1.5.3.3	Bandy-legged		1	5	3	3	0	0	Vbp	1b	5.3								
1.5.4	Hoof/Paw		1	5	4	0	0	0	Nbp	1a	5.4								
1.5.5	Palm/Sole		1	5	5	0	0	0	Nbp	1a	5.6								
1.5.6	Finger/Toe		1	5	6	0	0	0	Nbp	1a	5.7								
1.5.6.1	Thumb/Big Toe		1	5	6	1	0	0	Nbp	1a	5.7.1								
1.5.6.2	Other Specific Digits		1	5	6	2	0	0	Nbp	1a	5.7.2								
1.5.6.3	Fingerprint		1	5	6	3	0	0	Nbp	1a	5.7.3								No lexicon records
1.5.7	Leg		1	5	7	0	0	0	Nbp	1a	5.9								
1.5.7.1	Thigh		1	5	7	1	0	0	Nbp	1a	5.9.1								
1.5.7.2	Shin/Tibia		1	5	7	2	0	0	Nbp	1a	5.9.2								
1.5.7.3	Calf		1	5	7	3	0	0	Nbp	1a	5.9.3								No lexicon records
1.5.7.4	Lower Leg		1	5	7	4	0	0	Nbp										
1.5.8	Joint		1	5	8	0	0	0	Nbp	1a	5.11								
1.5.8.1	Wrist		1	5	8	1	0	0	Nbp	1a	5.11.1								
1.5.8.2	Ankle		1	5	8	2	0	0	Nbp	1a	5.11.2								
1.5.8.3	Elbow		1	5	8	3	0	0	Nbp	1a	5.11.3								
1.5.8.4	Knee		1	5	8	4	0	0	Nbp	1a	5.11.4								
1.5.8.4.1	Knee-deep		1	5	8	4	1	0	Vbp	1b	5.11.4								
1.5.8.5	Knuckle/Phalanx		1	5	8	5	0	0	Nbp	1a	5.11.5								
1.5.9	Body Measures		1	5	9	0	0	0											
1.5.9.1	Right		1	5	9	1	0	0											
1.5.9.2	Left		1	5	9	2	0	0											
1.5.9.3	Cubit		1	5	9	3	0	0	Nbp	1a	5.14								
1.5.9.4	Span/Handspan		1	5	9	4	0	0	Nbp	1a	5.15								
1.5.9.5	Fathom/Cord		1	5	9	5	0	0	Nbp	1a	5.16								
1.5.10	Nail		1	5	10	0	0	0	Nbp	1a	5.17								
1.5.10.1	Fingernail		1	5	10	1	0	0	Nbp	1a	5.17.1								
1.5.10.2	Toenail		1	5	10	2	0	0	Nbp	1a	5.17.2								
1.5.10.3	Cuticle		1	5	10	3	0	0	Nbp	1a	5.17.3								
1.5.10.4	Claw/Talon/Pincer		1	5	10	4	0	0	Nbp	1a	5.17.4								
1.5.11	Numb/Paralyzed		1	5	11	0	0	0	Nbp	1a	5.18					Vbp	1b	5.18	
1.5.12	Lame/Limp		1	5	12	0	0	0	Nbp	1a	5.19					Vbp	1b	5.19	
1.6	Diffuse Organs		1	6	0	0	0	0	Nbp	1a	6.0								Chapter has trailing zero for some reason
1.6.1	Body Hair/Fur		1	6	1	0	0	0	Nbp	1a	6.1								
1.6.1.1	Feather		1	6	1	1	0	0	Nbp	1a	6.1.1								
1.6.1.2	Mane		1	6	1	2	0	0	Nbp										
1.6.1.3	Wool		1	6	1	3	0	0	Nbp	1a	6.1.3								
1.6.1.4	Bristle		1	6	1	4	0	0	Vbp	1b	6.1								
1.6.2	Blood/Bleed		1	6	2	0	0	0	Nbp	1a	6.2					Vbp	1b	6.2	
1.6.2.1	Blood Vessel/Vein/Artery		1	6	2	1	0	0	Nbp	1a	6.2.1								
1.6.3	Bone		1	6	3	0	0	0	Nbp	1a	6.3								
1.6.3.1	Skeleton		1	6	3	1	0	0	Nbp	1a	6.3.1					Vbp	1b	6.3	
1.6.3.2	Breastbone/Sternum		1	6	3	2	0	0	Nbp	1a	6.3.2								
1.6.3.3	Spine/Backbone		1	6	3	3	0	0	Nbp	1a	6.3.3								
1.6.3.4	Cartilage/Gristle		1	6	3	4	0	0	Nbp	1a	6.3.4								
1.6.3.5	Marrow		1	6	3	5	0	0	Nbp	1a	6.3.5								
1.6.4	Fat/Be fat		1	6	4	0	0	0	Nbp	1a	6.4					Vbp	1b	6.4	BP verb was "Chubby"
1.6.4.1	Oil/Grease		1	6	4	1	0	0	Nbp	1a	6.4.1								
1.6.5	Skin		1	6	5	0	0	0	Nbp	1a	6.5								
1.6.5.1	Hide/Leather		1	6	5	1	0	0	Nbp	1a	6.5.1								
1.6.5.2	Scale (of fish, snake)		1	6	5	2	0	0	Nbp	1a	6.5.2								
1.6.5.3	Skin Blemish/Freckle		1	6	5	3	0	0	Nbp	1a	6.5.3								
1.6.5.4	Blistered		1	6	5	4	0	0	Vbp	1b	6.5.3								
1.6.5.4.1	Boil (n.)		1	6	5	4	1	0	Nbp										
1.6.5.5	Itch/Scratch		1	6	5	5	0	0	Nbp	1a	6.5.4					Vbp	1b	6.5.4	
1.6.5.6	Molt		1	6	5	6	0	0	Vbp	1b	6.5								
1.6.6	Obscure Internal Channels		1	6	6	0	0	0	Nbp	1a	6.6								No lexicon records (at this level)
1.6.6.1	Sinew/Tendon/Ligament		1	6	6	1	0	0	Nbp	1a	6.6.1								
1.6.6.2	Muscle		1	6	6	2	0	0	Nbp	1a	6.6.2								
1.6.6.2.1	Cramped		1	6	6	2	1	0	Vbp	1b	6.6.2								
1.6.6.3	Nerve		1	6	6	3	0	0	Nbp	1a	6.6.3								
1.6.6.4	Lymph		1	6	6	4	0	0	Nbp	1a	6.6.4								
1.7	Internal Organs		1	7	0	0	0	0	Nbp	1a	7.0								Chapter has trailing zero for some reason
1.7.1	Heart		1	7	1	0	0	0	Nbp	1a	7.1								
1.7.1.1	Heartbeat/Pulse		1	7	1	1	0	0	Nbp	1a	7.1.1								
1.7.2	Lung		1	7	2	0	0	0	Nbp	1a	7.2								
1.7.2.1	Tuberculosis		1	7	2	1	0	0	Nbp	1a	7.2.1								
1.7.3	Liver		1	7	3	0	0	0	Nbp	1a	7.3								
1.7.3.1	Gall/Bile		1	7	3	1	0	0	Nbp	1a	7.3.1					Vbp	1b	7.3	
1.7.4	Spleen		1	7	4	0	0	0	Nbp	1a	7.4								
1.7.4.1	Swollen Spleen		1	7	4	1	0	0	Nbp										
1.7.5	Kidney		1	7	5	0	0	0	Nbp	1a	7.5								
1.7.6	Stomach		1	7	6	0	0	0	Nbp	1a	7.6								
1.7.6.1	Gizzard/Crop		1	7	6	1	0	0	Nbp	1a	7.6.1								
1.7.6.2	Digest		1	7	6	2	0	0	Vbp	1b	7.6								
1.7.7	Intestines/Bowels/Guts		1	7	7	0	0	0	Nbp	1a	7.7								
1.7.7.1	Appendix		1	7	7	1	0	0	Nbp										
1.7.7.2	Pancreas		1	7	7	2	0	0	Nbp										
1.7.7.3	Constipated		1	7	7	3	0	0	Vbp	1b	7.7								
1.7.8	Bladder		1	7	8	0	0	0	Nbp	1a	7.8								
1.8	Secretions and Somatophonics		1	8	0	0	0	0	Nbp	1a	8								
1.8.1	Sweat/Perspire		1	8	1	0	0	0	Nbp	1a	8.2					Vbp	1b	8.2	
1.8.1.1	Pore		1	8	1	1	0	0	Nbp	1a	8.2.1								
1.8.1.2	Body Dirt		1	8	1	2	0	0	Nbp	1a	8.2.2								
1.8.2	Snot/Nasal Mucus		1	8	2	0	0	0	Nbp	1a	8.3								
1.8.2.1	Sneeze		1	8	2	1	0	0	Nbp	1a	8.3.1								
1.8.2.2	Snore		1	8	2	2	0	0	Nbp	1a	8.3.2								
1.8.3	Spit/Saliva		1	8	3	0	0	0	Nbp	1a	8.4								
1.8.3.1	Phlegm		1	8	3	1	0	0	Nbp										
1.8.3.2	Vomit		1	8	3	2	0	0	Nbp	1a	8.4.2								
1.8.3.3	Cough		1	8	3	3	0	0	Vbp	1b	8.4								
1.8.3.4	Belch/Burp		1	8	3	4	0	0	Vbp	1b	8.4.4								
1.8.3.5	Hiccup		1	8	3	5	0	0	Nbp	1a	8.4.5								
1.8.4	Urine/Piss		1	8	4	0	0	0	Nbp	1a	8.5					Vbp	1b	8	
1.8.5	Feces/Shit/Dung/Filth/Excrement		1	8	5	0	0	0	Nbp	1a	8.6								
1.8.5.1	Meconium		1	8	5	1	0	0	Nbp										
1.8.5.2	Fart		1	8	5	2	0	0	Nbp	1a	8.6.2								
1.8.5.3	Flatulate		1	8	5	3	0	0	Vbp	1b	8.6.2								
1.8.5.4	Defecate		1	8	5	4	0	0	Vbp	1b	8.6								
1.8.6	Discharge		1	8	6	0	0	0	Vbp	1b	8.7								
1.8.6.1	Pus/Gleet		1	8	6	1	0	0	Nbp	1a	8.7								
1.8.6.2	Abcess/Ulcer		1	8	6	2	0	0	Nbp	1a	8.7.1								
1.8.7	Speak/Say/Tell		1	8	7	0	0	0	Nbp	1a	8.8								
1.8.7.1	Mute/Dumb		1	8	7	1	0	0	Vbp	1b	8.8								
1.8.7.2	Stutter/Stammer		1	8	7	2	0	0	Nbp	1a	8.8.2								
1.8.8	Emotional Somatophonics		1	8	8	0	0	0											
1.8.8.1	Laugh/Smile		1	8	8	1	0	0	Nbp	1a	8.9					Vbp	1b	8.9	BP Verb was "Chuckle"
1.8.8.2	Cry/Weep		1	8	8	2	0	0	Vbp	1b	8.9.1								
1.8.8.3	Tears		1	8	8	3	0	0	Nbp	1a	2.6.7								also exists in 1.2.6.7
1.8.8.4	Whistle		1	8	8	4	0	0	Vbp										
1.9	Reproductive System		1	9	0	0	0	0	Nbp	1a	9.0					Vbp	1b	9.0	Vbp chapter has trailing zero; no forms in lexicon table categorized as 1a/9(.0)
1.9.1	Egg		1	9	1	0	0	0	Nbp	1a	9.1								
1.9.1.1	Bred		1	9	1	1	0	0	Vbp	1b	9.1.1								
1.9.1.2	Brood on egg		1	9	1	2	0	0	Vbp	1b	9.3.3								
1.9.2	Birth		1	9	2	0	0	0	Nbp	1a	1.2					Vbp	1b	1.2	
1.9.2.1	Sterile		1	9	2	1	0	0	Vbp	1b	9.2.2								
1.9.2.2	Circumcise		1	9	2	2	0	0	Vbp	1b	9.2.1.1								
1.9.2.3	Castrate		1	9	2	3	0	0	Vbp	1b	9.2.2.4								
1.9.3	Navel		1	9	3	0	0	0	Nbp	1a	9.3								
1.9.3.1	Umbilical Cord		1	9	3	1	0	0											Lexicon table has 'umbilical cord' records as 1a/9.3
1.9.4	Breast		1	9	4	0	0	0	Nbp	1a	9.4					Vbp	1b	9.3	
1.9.4.1	Milk		1	9	4	1	0	0											
1.9.4.2	Wean		1	9	4	2	0	0											
1.9.5	Vagina		1	9	5	0	0	0	Nbp	1a	9.5								
1.9.5.1	Vulva/Labia		1	9	5	1	0	0											
1.9.5.2	Clitoris		1	9	5	2	0	0											
1.9.6	Womb		1	9	6	0	0	0	Nbp	1a	9.6								
1.9.6.1	Pregnant		1	9	6	1	0	0	Nbp	1a	9.2								
1.9.6.2	Barren		1	9	6	2	0	0	Vbp	1b	9.3.4.1								
1.9.6.3	Amniotic sac/Amniotic fluid		1	9	6	3	0	0											
1.9.6.4	Placenta/Afterbirth		1	9	6	4	0	0											
1.9.6.5	Fertility		1	9	6	5	0	0	Nbp	1a	9.9.5								Can't seem to locate this category outside of the lexicon table
1.9.7	Penis		1	9	7	0	0	0	Nbp	1a	9.7								
1.9.7.1	Testicle		1	9	7	1	0	0	Nbp	1a	9.7.1								
1.9.7.2	Scrotum/Pouch		1	9	7	2	0	0											
1.9.7.3	Foreskin/Prepuce		1	9	7	3	0	0											
1.9.7.4	Glans penis		1	9	7	4	0	0											
1.9.8	Copulate		1	9	8	0	0	0	Nbp	1a	9.8								
1.9.9	Body Fluids		1	9	9	0	0	0	Nbp										
1.9.9.1	Sperm/Semen		1	9	9	1	0	0											
1.9.9.2	Ejaculate		1	9	9	2	0	0											
1.9.10	Genitals/Pudenda		1	9	10	0	0	0											see glosses for 1a/9.1 Egg
1.9.11	Menstruation		1	9	11	0	0	0											
1.9.11.1	Menstrual		1	9	11	1	0	0	Vbp	1b	9.3.4								
1.9.12	Female		1	9	12	0	0	0	Nbp	1a	9.9.3								
1.9.12.1	Female Pubic Hair		1	9	12	1	0	0											
1.9.13	Male		1	9	13	0	0	0	Nbp	1a	9.9.4								
1.9.13.1	Male Pubic Hair		1	9	13	1	0	0											
1.9.14	Other Reproductive System		1	9	14	0	0	0	Nbp	1a	xxx								
1.10	Mind		1	10	0	0	0	0	Nbp	1a	10.0								Chapter has a trailing zero for some reason
2.0	Animals and Animal Verbs		2	0	0	0	0		Nanim	2						Nanim	2a.1		
2.1	Bovine		2	1	0	0	0	0	Nanim	2a.1	1								
2.2	Equine		2	2	0	0	0	0	Nanim	2a.1	2								
2.3	Porcine		2	3	0	0	0	0	Nanim	2a.1	3								
2.4	Ovine and Hircine		2	4	0	0	0	0	Nanim	2a.1	4								
2.5	Pachyderms		2	5	0	0	0	0	Nanim	2a.1	5								
2.6	Canine		2	6	0	0	0	0	Nanim	2a.1	6								
2.6.1	Bark (of dog)		2	6	1	0	0	0	Vbp	1b	8.9.4								
2.7	Feline		2	7	0	0	0	0	Nanim	2a.1	7								
2.8	Cervidae		2	8	0	0	0	0	Nanim	2a.1	8								
2.9	Ursine		2	9	0	0	0	0	Nanim	2a.1	9								
2.10	Simian		2	10	0	0	0	0	Nanim	2a.1	10								
2.11	Birds (in general)		2	11	0	0	0	0	Nanim	2a.1	11								
2.11.1	Fowl (i.e. Domestic Birds)		2	11	1	0	0	0	Nanim	2a.1	11.1								
2.11.2	Particular birds		2	11	2	0	0	0	Nanim	2a.1	11.2								
2.12	Reptiles and Amphibians		2	12	0	0	0	0	Nanim	2a.1	12								
2.13	Fish & Mollusks		2	13	0	0	0	0	Nanim	2a.1	13								
2.14	Insects, Arachnids, & Worm		2	14	0	0	0	0	Nanim	2a.1	14								
2.15	Other Mammals		2	15	0	0	0	0	Nanim	2a.1	15								
2.16	Rodents		2	16	0	0	0	0	Nanim	2a.1	16								glosses need to be split among this (Rodents) and new Lagomorphs chapter
2.17	Lagomorphs		2	17	0	0	0	0											
2.18	Dragon		2	18	0	0	0	0	Nanim	2a.1	17								Glosses that aren't "dragon" need to be put into "Other Mythical Animals"
2.19	Other Mythical Animals		2	19	0	0	0	0											
2.20	Associated Animal Terms		2	20	0	0	0	0	Nanim	2a.1	18								
2.21	Animate verbs		2	21	0	0	0	0	Vanim	2a.2									
